year,category,metric_name,metric_value
2023,Community,UK Members,1000
2023,Community,Universities Represented,70
2023,Community,First Generation Students %,35
2023,Community,Black Heritage %,26
2023,Community,Tech Natives Members,100
2023,Funding,Women In Tech Fund Growth,515000
2023,Community,UK Community Members,700

2024,Community,RTC Members Goal,30000
2024,Community,RTC Members Actual,32500
2024,Community,Undergraduate Students,10027
2024,Community,Graduate Students,1463
2024,Community,Early Career Members,21189
2024,Community,First Generation Students %,35
2024,Community,Membership Growth %,39

2024,Career,Career Confidence %,85.6
2024,Career,Positive Career Impact %,89
2024,Career,Positive Life Impact %,62.1

2024,Events,Event Attendance,93220
2024,Events,Workshop Attendance,19142
2024,Events,Mentorship Participants,2120

2024,Program,RISE Participants,1636
2024,Program,Program Applications,17492
2024,Program,Resources Accessed,28171
2024,Program,Community Engagement,87528

2024,Funding,Future Of Tech Fund,289507

2024,Internship,Survey Respondents,604
2024,Internship,Career Certainty %,69
2024,Internship,Mentor Support %,67
2024,Internship,Return Offer Acceptance %,72
2024,Internship,First Generation Students %,36
2024,Internship,Top CS School %,46
2024,Internship,Work Authorization %,19

2025,Community,New Members,8873
2025,Community,Total Members,41300
2025,Community,Slack Members,45300
2025,Community,Job Applications,12157
2025,Community,Countries Represented,180

2025,Funding,Funds Distributed,416427

2025,Career,Career Confidence %,93.7
2025,Career,Positive Student Experience %,98.5
2025,Career,Positive Career Impact %,77.6
2025,Career,Tech Career Retention %,97

2025,Career,Interested In AI Careers %,44
2025,Career,No AI Training %,61
2025,Career,Receive AI Training %,20

2025,Skills,AI Skills Interest %,81
2025,Skills,Consistent AI Training %,15
2025,Skills,Professional Skill Growth %,87
2025,Skills,Interview Preparation Improvement,2403

2025,Events,TechConnect Attendance,2095
2025,Events,UK Career Summit Attendance,89
2025,Events,Virtual Career Summit Attendance,1086

2025,Program,RISE Members Served,1667
2025,Program,nSpire Members Served,1379
2025,Program,Budgeting Confidence Improvement %,25
2025,Program,TRCS Improvement %,19

2025,Mentorship,Mentorship Impact %,76

2025,Recruiting,Survey Respondents,3400
2025,Recruiting,US Respondents %,84
2025,Recruiting,Canada Respondents %,7
2025,Recruiting,India Respondents %,3
2025,Recruiting,Class Of 2026 %,37
2025,Recruiting,Class Of 2025 %,33
2025,Recruiting,Class Of 2027 %,21
2025,Recruiting,Class Of 2028 %,6

2025,Recruiting,Partner Job Views,41353
2025,Recruiting,Talent Event Partners,36
2025,Recruiting,Members Reached,23122
