year,category,metric_name,metric_value
2023,Community,UK Members,1000.0
2023,Community,Universities Represented,70.0
2023,Community,First Generation Students %,35.0
2023,Community,Black Heritage %,26.0
2023,Community,Tech Natives Members,100.0
2023,Funding,Women In Tech Fund Growth,515000.0
2023,Community,UK Community Members,700.0
2024,Community,RTC Members Goal,30000.0
2024,Community,RTC Members Actual,32500.0
2024,Community,Undergraduate Students,10027.0
2024,Community,Graduate Students,1463.0
2024,Community,Early Career Members,21189.0
2024,Community,First Generation Students %,35.0
2024,Community,Membership Growth %,39.0
2024,Career,Career Confidence %,85.6
2024,Career,Positive Career Impact %,89.0
2024,Career,Positive Life Impact %,62.1
2024,Events,Event Attendance,93220.0
2024,Events,Workshop Attendance,19142.0
2024,Events,Mentorship Participants,2120.0
2024,Program,RISE Participants,1636.0
2024,Program,Program Applications,17492.0
2024,Program,Resources Accessed,28171.0
2024,Program,Community Engagement,87528.0
2024,Funding,Future Of Tech Fund,289507.0
2024,Internship,Survey Respondents,604.0
2024,Internship,Career Certainty %,69.0
2024,Internship,Mentor Support %,67.0
2024,Internship,Return Offer Acceptance %,72.0
2024,Internship,First Generation Students %,36.0
2024,Internship,Top CS School %,46.0
2024,Internship,Work Authorization %,19.0
2025,Community,New Members,8873.0
2025,Community,Total Members,41300.0
2025,Community,Slack Members,45300.0
2025,Community,Job Applications,12157.0
2025,Community,Countries Represented,180.0
2025,Funding,Funds Distributed,416427.0
2025,Career,Career Confidence %,93.7
2025,Career,Positive Student Experience %,98.5
2025,Career,Positive Career Impact %,77.6
2025,Career,Tech Career Retention %,97.0
2025,Career,Interested In AI Careers %,44.0
2025,Career,No AI Training %,61.0
2025,Career,Receive AI Training %,20.0
2025,Skills,AI Skills Interest %,81.0
2025,Skills,Consistent AI Training %,15.0
2025,Skills,Professional Skill Growth %,87.0
2025,Skills,Interview Preparation Improvement,2403.0
2025,Events,TechConnect Attendance,2095.0
2025,Events,UK Career Summit Attendance,89.0
2025,Events,Virtual Career Summit Attendance,1086.0
2025,Program,RISE Members Served,1667.0
2025,Program,nSpire Members Served,1379.0
2025,Program,Budgeting Confidence Improvement %,25.0
2025,Program,TRCS Improvement %,19.0
2025,Mentorship,Mentorship Impact %,76.0
2025,Recruiting,Survey Respondents,3400.0
2025,Recruiting,US Respondents %,84.0
2025,Recruiting,Canada Respondents %,7.0
2025,Recruiting,India Respondents %,3.0
2025,Recruiting,Class Of 2026 %,37.0
2025,Recruiting,Class Of 2025 %,33.0
2025,Recruiting,Class Of 2027 %,21.0
2025,Recruiting,Class Of 2028 %,6.0
2025,Recruiting,Partner Job Views,41353.0
2025,Recruiting,Talent Event Partners,36.0
2025,Recruiting,Members Reached,23122.0
